Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
03:55,,,Jaemyn Brakefield,N/A,N/A,Jaemyn Brakefield misses regular free throw 1 of 1 
03:55,,,Jordan Usher,N/A,N/A, Jordan Usher defensive rebound
03:35,27-26,,Michael Devoe,Jordan Usher,N/A, Jordan Usher makes three point jump shot (Michael Devoe assists)
03:14,,,Jaemyn Brakefield,N/A,N/A,Jaemyn Brakefield misses two point jump shot 
03:12,,,Jordan Usher,N/A,N/A, Jordan Usher defensive rebound
02:44,,,Moses Wright,N/A,N/A, Moses Wright misses two point jump shot
02:42,,,Moses Wright,N/A,N/A, Moses Wright offensive rebound
02:41,,turnover,Moses Wright,N/A,N/A, Moses Wright turnover (traveling)
02:26,29-26,,Wendell Moore,N/A,N/A,Wendell Moore Jr. makes two point driving layup 
02:04,29-28,,Moses Wright,Jordan Usher,N/A, Jordan Usher makes two point jump shot (Moses Wright assists)
01:48,31-28,,Jaemyn Brakefield,Matthew Hurt,N/A,Matthew Hurt makes two point finger roll layup (Jaemyn Brakefield assists) 
01:32,,,Moses Wright,N/A,N/A, Moses Wright misses two point jump shot
01:30,,,Jordan Goldwire,N/A,N/A,Jordan Goldwire defensive rebound 
01:26,34-28,,Wendell Moore,Jordan Goldwire,N/A,Wendell Moore Jr. makes three point jump shot (Jordan Goldwire assists) 
01:10,,,Michael Devoe,N/A,N/A, Michael Devoe misses three point jump shot
01:08,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. defensive rebound 
00:58,,,Jeremy Roach,N/A,N/A,Jeremy Roach misses three point jump shot 
00:56,,,Michael Devoe,N/A,N/A, Michael Devoe defensive rebound
00:47,,steal,Wendell Moore,Michael Devoe,N/A, Michael Devoe turnover (lost ball) (Wendell Moore Jr. steals)
00:17,,block,Jaemyn Brakefield,Moses Wright,N/A,Moses Wright blocks Jaemyn Brakefield's two point layup 
00:15,,,Khalid Moore,N/A,N/A, Khalid Moore defensive rebound
00:00,34-31,,Moses Wright,Jose Alvarado,N/A, Moses Wright makes three point jump shot (Jose Alvarado assists)
00:00,,,N/A,N/A,N/A,End of 1st Half. 
20:00,,,N/A,N/A,N/A, Open inbound Yellow Jackets
19:42,,,Khalid Moore,N/A,N/A, Khalid Moore misses three point jump shot
19:40,,,Mark Williams,N/A,N/A,Mark Williams defensive rebound 
19:24,36-31,,Mark Williams,Matthew Hurt,N/A,Mark Williams makes two point jump shot (Matthew Hurt assists) 
19:06,,,Jeremy Roach,Michael Devoe,N/A,Jeremy Roach shooting foul (Michael Devoe draws the foul) 
19:06,36-32,,Michael Devoe,N/A,N/A, Michael Devoe makes regular free throw 1 of 2
