Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
05:20,,Layup MISSED,,,," NCA&T Block by Johnson, Austin"
05:17,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Woods, Kam "
05:12,,time out,,,, NCA&T takes a 30-second time out.
04:55,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Johnson, Austin"
04:52,,Offensive REBOUND,,,, NCA&T Offensive REBOUND by team
04:49,19-26,3 Pointer,,,," 3 Pointer GOOD by NCA&T's Watson, Marcus"
04:49,,Assist,,,," NCA&T Assist by Woods, Kam "
04:19,21-26,Layup,,,,"Layup GOOD by SBU's Fitzmorris, Keenan "
04:19,,Assist,,,,"SBU Assist by Roberts, Kaine "
03:58,,Layup MISSED,,,," Layup MISSED by NCA&T's Watson, Marcus"
03:58,,Layup MISSED,,,,"SBU Block by Fitzmorris, Keenan "
03:57,,Defensive REBOUND,,,,SBU Defensive REBOUND by team 
03:57,,timeout,,,,Media timeout 
03:47,,Turnover,,,,"SBU Turnover by Roberts, Kaine "
03:47,,Turnover,,,," NCA&T Steal by Woods, Kam "
03:38,21-28,Jumper,,,," Jumper GOOD by NCA&T's Woods, Kam "
03:17,23-28,Layup,,,,"Layup GOOD by SBU's Stephenson-moore, Tyler "
03:17,,Assist,,,,"SBU Assist by Pettway, Tanahj "
03:03,,Turnover,,,," NCA&T Turnover by Johnson, Austin"
03:03,,Subbing out,,,," Subbing out for NCA&T - Elliott, Tyrese"
03:03,,Subbing out,,,," Subbing out for NCA&T - Johnson, Austin"
03:03,,Subbing in,,,," Subbing in for NCA&T - Duke, Kyle"
03:03,,Subbing in,,,," Subbing in for NCA&T - Filmore, Webster"
03:03,,Subbing out,,,,"Subbing out for SBU - Roberts, Kaine "
03:03,,Subbing in,,,,"Subbing in for SBU - Onyekonwu, Toby "
02:45,25-28,Slam Dunk,,,,"Slam Dunk GOOD by SBU's Stephenson-moore, Tyler "
02:45,,Assist,,,,"SBU Assist by Fitzmorris, Keenan "
02:26,25-30,Jumper,,,," Jumper GOOD by NCA&T's Woods, Kam "
02:06,,Subbing out,,,," Subbing out for NCA&T - Horton, Demetric"
02:06,,Subbing in,,,," Subbing in for NCA&T - Powell, Duncan"
01:57,,Foul,,,," Foul on NCA&T's Watson, Marcus"
01:52,,3 Pointer,,,,"3 Pointer MISSED by SBU's Stephenson-moore, Tyler "
01:50,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Duke, Kyle"
01:46,,Turnover,,,," NCA&T Turnover by Woods, Kam "
01:31,,Foul,,,," Foul on NCA&T's Filmore, Webster"
01:31,26-30,Free Throw,,,,"Free Throw GOOD by SBU's Fitzmorris, Keenan "
01:31,,Free Throw MISSED,,,,"Free Throw MISSED by SBU's Fitzmorris, Keenan "
01:30,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Powell, Duncan"
01:12,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Woods, Kam "
01:09,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Onyekonwu, Toby "
01:01,,Turnover,,,,"SBU Turnover by Fitzmorris, Keenan "
01:01,,Turnover,,,," NCA&T Steal by Watson, Marcus"
00:40,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Powell, Duncan"
00:38,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Duke, Kyle"
00:38,,Foul,,,,"Foul on SBU's Onyekonwu, Toby "
00:38,,Free Throw MISSED,,,," Free Throw MISSED by NCA&T's Duke, Kyle"
00:38,,Free Throw MISSED,,,, NCA&T gets a REBOUND from a dead ball.
00:38,,Subbing out,,,,"Subbing out for SBU - Fitzmorris, Keenan "
00:38,,Subbing in,,,,"Subbing in for SBU - Sarvan, Kenan "
00:38,26-31,Free Throw,,,," Free Throw GOOD by NCA&T's Duke, Kyle"
00:30,,Foul,,,," Foul on NCA&T's Duke, Kyle"
00:30,,Subbing out,,,," Subbing out for NCA&T - Duke, Kyle"
00:30,,Subbing in,,,," Subbing in for NCA&T - Horton, Demetric"
00:30,27-31,Free Throw,,,,"Free Throw GOOD by SBU's Onyekonwu, Toby "
00:30,28-31,Free Throw,,,,"Free Throw GOOD by SBU's Onyekonwu, Toby "
00:30,,Subbing out,,,,"Subbing out for SBU - Onyekonwu, Toby "
00:30,,Subbing out,,,,"Subbing out for SBU - Sarvan, Kenan "
00:30,,Subbing in,,,,"Subbing in for SBU - Roberts, Kaine "
00:30,,Subbing in,,,,"Subbing in for SBU - Muratori, Rocco "
00:06,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Watson, Marcus"
00:03,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Roberts, Kaine "
00:00,,Turnover,,,,"SBU Turnover by Roberts, Kaine "
00:00,,Subbing out,,,,"Subbing out for SBU - Muratori, Rocco "
00:00,,Subbing in,,,,"Subbing in for SBU - Sarvan, Kenan "
00:00,,Turnover,,,," NCA&T Turnover by Woods, Kam "
00:00,,Turnover,,,,"SBU Steal by Policelli, Frankie "
20:00,,Subbing out,,,," Subbing out for NCA&T - Filmore, Webster"
20:00,,Subbing in,,,," Subbing in for NCA&T - Johnson, Austin"
20:00,,Subbing out,,,,"Subbing out for SBU - Roberts, Kaine "
20:00,,Subbing in,,,,"Subbing in for SBU - Onyekonwu, Toby "
19:46,31-31,3 Pointer,,,,"3 Pointer GOOD by SBU's Policelli, Frankie "
19:46,,Assist,,,,"SBU Assist by Sarvan, Kenan "
19:24,,Layup MISSED,,,," Layup MISSED by NCA&T's Johnson, Austin"
19:22,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
19:13,33-31,Layup,,,,"Layup GOOD by SBU's Pettway, Tanahj "
18:54,,Turnover,,,," NCA&T Turnover by Johnson, Austin"
18:54,,Turnover,,,,"SBU Steal by Pettway, Tanahj "
18:39,,Jumper MISSED,,,,"Jumper MISSED by SBU's Stephenson-moore, Tyler "
18:36,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Woods, Kam "
18:25,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Powell, Duncan"
18:22,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
18:04,35-31,Layup,,,,"Layup GOOD by SBU's Onyekonwu, Toby "
17:44,,Foul,,,,"Foul on SBU's Onyekonwu, Toby "
17:44,35-32,Free Throw,,,," Free Throw GOOD by NCA&T's Horton, Demetric"
17:44,,Free Throw MISSED,,,," Free Throw MISSED by NCA&T's Horton, Demetric"
